predicted_tables,reference_tables,query,question,db_id
SELECT COUNT(DISTINCT Singer_ID) FROM singer,singer,SELECT count(*) FROM singer,How many singers do we have?,concert_singer
SELECT COUNT(*) FROM singer,singer,SELECT count(*) FROM singer,What is the total number of singers?,concert_singer
"SELECT Name, Country, Age FROM singer ORDER BY Age DESC",singer,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","Show name, country, age for all singers ordered by age from the oldest to the youngest.",concert_singer
"SELECT Name, Country, Age FROM singer ORDER BY Age DESC",singer,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","What are the names, countries, and ages for every singer in descending order of age?",concert_singer
"SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer WHERE Country = 'France'",singer,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","What is the average, minimum, and maximum age of all singers from France?",concert_singer
"SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer WHERE Country = 'France'",singer,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","What is the average, minimum, and maximum age for all French singers?",concert_singer
"SELECT s.Name, s.Song_release_year FROM singer s WHERE s.Age = (SELECT MIN(Age) FROM singer) AND s.Song_Name IS NOT NULL AND s.Song_release_year IS NOT NULL LIMIT 1",singer,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",Show the name and the release year of the song by the youngest singer.,concert_singer
"SELECT s.Name, s.Song_Name, s.Song_release_year FROM singer s WHERE s.Age = (SELECT MIN(Age) FROM singer) AND s.Is_male = 'T'",singer,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",What are the names and release years for all the songs of the youngest singer?,concert_singer
SELECT DISTINCT Country FROM singer WHERE Age > 20,singer,SELECT DISTINCT country FROM singer WHERE age  >  20,What are all distinct countries where singers above age 20 are from?,concert_singer
SELECT DISTINCT Country FROM singer WHERE Age > 20,singer,SELECT DISTINCT country FROM singer WHERE age  >  20,What are  the different countries with singers above age 20?,concert_singer
"SELECT s.Country, COUNT(s.Singer_ID) AS Number_of_singers FROM singer s GROUP BY s.Country",singer,"SELECT country ,  count(*) FROM singer GROUP BY country",Show all countries and the number of singers in each country.,concert_singer
"SELECT Country, COUNT(*) FROM singer GROUP BY Country",singer,"SELECT country ,  count(*) FROM singer GROUP BY country",How many singers are from each country?,concert_singer
"SELECT s.Name, s.Song_Name FROM singer s INNER JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID WHERE s.Age > (SELECT AVG(Age) FROM singer)",singer,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),List all song names by singers above the average age.,concert_singer
"SELECT s.Singer_ID, s.Name, s.Song_Name FROM singer s WHERE s.Age > (SELECT AVG(s.Age) FROM singer s)",singer,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),What are all the song names by singers who are older than average?,concert_singer
